ProductID,LocationID,Location Name,Product Name,Product Barcode,Product Description,Product Order Code,Sale Price,Category Name,Current Stock,Min Stock,Max Stock,Current Volume,On Order,Alerts,Cost Price, Supplier Name,Unit of Sale,Volume of Sale,Unit of Purchase,Volume of Purchase
3586040,17288,Markham House,Bucket black 14 litre,5035276006017#5060370711444,Bucket black 14 litre,,1.60000,BAGS & TUBTRUGS,,,,,,n,1.03400,,,,,
3586051,10028,WRHS Trading Post Main Store,Clips And Corners Bubble Ins,5010337942206,Clips And Corners Bubble Insulation,,0.25000,GREENHOUSE SUPPLIES,0.00000,0.00000,0.00000,0,0,n,1.34500,,,,,
3586051,17288,Markham House,Clips And Corners Bubble Ins,5010337942206,Clips And Corners Bubble Insulation,,0.25000,GREENHOUSE SUPPLIES,,,,,,n,1.34500,,,,,
3586052,10028,WRHS Trading Post Main Store,Spray Bottle 600ml,5017926252418,Spray Bottle 600ml Contico Clear/Green,,1.60000,SPRAYERS,2.00000,0.00000,0.00000,0,0,n,1.03400,,,,,
3586052,17288,Markham House,Spray Bottle 600ml,5017926252418,Spray Bottle 600ml Contico Clear/Green,,1.60000,SPRAYERS,,,,,,n,1.03400,,,,,
3586060,10028,WRHS Trading Post Main Store,GH Shade Net Extenders,800000000088,GH Shade Net Extenders,,2.10000,EX GREENHOUSE SUPPLIES,0.00000,0.00000,0.00000,0,0,n,1.34500,,,,,
3586060,17288,Markham House,GH Shade Net Extenders,800000000088,GH Shade Net Extenders,,2.10000,EX GREENHOUSE SUPPLIES,,,,,,n,1.34500,,,,,
3586161,10028,WRHS Trading Post Main Store,Rope polypropylene 6mm,800000000039,Rope polypropylene 6mm blue,,0.11000,ROPE,-6.00000,0.00000,0.00000,0,0,n,0.06900,,,,m,1
3586161,17288,Markham House,Rope polypropylene 6mm,800000000039,Rope polypropylene 6mm blue,,0.11000,ROPE,,,,,,n,0.06900,,,,m,1
3586163,10028,WRHS Trading Post Main Store,Twine Jute natural 300g,800000000100,Twine Jute natural 3 ply 300g,DISCONTINUED,2.80000,EX TWINE,0.00000,0.00000,0.00000,0,0,n,1.80000,,,,,
3586163,17288,Markham House,Twine Jute natural 300g,800000000100,Twine Jute natural 3 ply 300g,DISCONTINUED,2.80000,EX TWINE,,,,,,n,1.80000,,,,,
3586166,10028,WRHS Trading Post Main Store,Full Seed Tray Black,800000000030,Full Seed Tray Black,,0.43000,SEED TRAYS,542.00000,0.00000,0.00000,0,0,n,0.27600,,,,,
3586166,17288,Markham House,Full Seed Tray Black,800000000030,Full Seed Tray Black,,0.43000,SEED TRAYS,,,,,,n,0.27600,,,,,
3586168,10028,WRHS Trading Post Main Store,Half Seed Tray Black,800000000032,Half Seed Tray Black,,0.13000,SEED TRAYS,978.00000,0.00000,0.00000,0,0,n,0.08300,,,,,
3586168,17288,Markham House,Half Seed Tray Black,800000000032,Half Seed Tray Black,,0.13000,SEED TRAYS,,,,,,n,0.08300,,,,,
3586243,10028,WRHS Trading Post Main Store,Rolson Leaf Collectors Pair,5029594825061,Rolson Leaf Collectors Pair,82506,3.45000,OTHER TOOLS,2.00000,0.00000,0.00000,0,0,n,2.24100,,,,,
3586243,17288,Markham House,Rolson Leaf Collectors Pair,5029594825061,Rolson Leaf Collectors Pair,82506,3.45000,OTHER TOOLS,,,,,,n,2.24100,,,,,
3586246,10028,WRHS Trading Post Main Store,S&J 22 inch Bypass Lopper,5012095006039,S&J Actv 22 inch Bypass Lopper 4822RSA,D56088,19.65000,EX TOOLS & EQUIPMENT,0.00000,0.00000,0.00000,0,0,n,12.75900,,,,,
3586246,17288,Markham House,S&J 22 inch Bypass Lopper,5012095006039,S&J Actv 22 inch Bypass Lopper 4822RSA,D56088,19.65000,EX TOOLS & EQUIPMENT,,,,,,n,12.75900,,,,,
4373310,10028,WRHS Trading Post Main Store,Water Butt 210 litre - no stand,5012079844206,Water Butt 210 litre - no stand,D18862,28.00000,EX RAINWATER GOODS,0.00000,0.00000,0.00000,0,0,n,17.95000,,,,,
4373310,17288,Markham House,Water Butt 210 litre - no stand,5012079844206,Water Butt 210 litre - no stand,D18862,28.00000,EX RAINWATER GOODS,,,,,,n,17.95000,,,,,
4373352,10028,WRHS Trading Post Main Store,Water Butt Stand for 210 litre,5012079900453,Water Butt Stand for 210 litre butt,D18863,10.55000,EX RAINWATER GOODS,0.00000,0.00000,0.00000,0,0,n,6.85000,,,,,
4373352,17288,Markham House,Water Butt Stand for 210 litre,5012079900453,Water Butt Stand for 210 litre butt,D18863,10.55000,EX RAINWATER GOODS,,,,,,n,6.85000,,,,,
5418676,10028,WRHS Trading Post Main Store,Master Gardener Gloves M,5020358012000,Master Gardener Gloves M,TGL200M,4.85000,GLOVES,11.00000,0.00000,0.00000,0,0,n,3.15500,,,,,
5418676,17288,Markham House,Master Gardener Gloves M,5020358012000,Master Gardener Gloves M,TGL200M,4.85000,GLOVES,,,,,,n,3.15500,,,,,
5773846,10028,WRHS Trading Post Main Store,Bone Meal (sterilised) 25kg,5000363206045,Bone Meal (sterilised) 25kg,,28.92000,SHED PRODUCTS,2.00000,0.00000,0.00000,0,0,n,18.80000,,,,,
5773846,17288,Markham House,Bone Meal (sterilised) 25kg,5000363206045,Bone Meal (sterilised) 25kg,,28.92000,SHED PRODUCTS,,,,,,n,18.80000,,,,,
5774932,10028,WRHS Trading Post Main Store,Garden Lime 25kg,5000363206113,J Arthur Bowers Garden Lime 25kg - STX-499628,,23.00000,SHED PRODUCTS,1.00000,0.00000,0.00000,0,0,n,14.95000,,,,,
5774932,17288,Markham House,Garden Lime 25kg,5000363206113,J Arthur Bowers Garden Lime 25kg - STX-499628,,23.00000,SHED PRODUCTS,,,,,,n,14.95000,,,,,
5800642,10028,WRHS Trading Post Main Store,Sulphate of Potash 25kg,8215802471,Sulphate of Potash 25kg sack,,55.38000,SHED PRODUCTS,7.00000,0.00000,0.00000,0,0,n,36.00000,,,,,
5800642,17288,Markham House,Sulphate of Potash 25kg,8215802471,Sulphate of Potash 25kg sack,,55.38000,SHED PRODUCTS,,,,,,n,36.00000,,,,,
5800654,10028,WRHS Trading Post Main Store,Rose Feed 25kg,2752765042,Rose Feed 25kg,,39.46000,SHED PRODUCTS,0.00000,0.00000,0.00000,0,0,n,25.65000,,,,,
5800654,17288,Markham House,Rose Feed 25kg,2752765042,Rose Feed 25kg,,39.46000,SHED PRODUCTS,,,,,,n,25.65000,,,,,
5800697,10028,WRHS Trading Post Main Store,Superphosphate 25kg,3318880523,Superphosphate 25kg,,46.10000,SHED PRODUCTS,2.00000,0.00000,0.00000,0,0,n,29.97000,,,,,
5800697,17288,Markham House,Superphosphate 25kg,3318880523,Superphosphate 25kg,,46.10000,SHED PRODUCTS,,,,,,n,29.97000,,,,,
5804927,10028,WRHS Trading Post Main Store,Agra Plum Fruit Moth Trap,5019226000171,Agra Plum Fruit Moth Trap Ha651D,D50239,9.05000,TRAPS,1.00000,0.00000,0.00000,0,0,n,5.86200,,,,,
5804927,17288,Markham House,Agra Plum Fruit Moth Trap,5019226000171,Agra Plum Fruit Moth Trap Ha651D,D50239,9.05000,TRAPS,,,,,,n,5.86200,,,,,
5824183,10028,WRHS Trading Post Main Store,Master Gardener Gloves L,5020358004296,Master Gardener Gloves L,TGL200L,4.85000,GLOVES,7.00000,0.00000,0.00000,0,12,n,3.15500,,,,,
5824183,17288,Markham House,Master Gardener Gloves L,5020358004296,Master Gardener Gloves L,TGL200L,4.85000,GLOVES,,,,,,n,3.15500,,,,,
5898030,10028,WRHS Trading Post Main Store,Pathclear Weedkiller x18 pkt,5010272091724,Pathclear Weedkiller 18 x 18ml sachets,,19.30000,EX WEED KILLERS,0.00000,0.00000,0.00000,0,0,n,12.55000,,,,,
5898030,17288,Markham House,Pathclear Weedkiller x18 pkt,5010272091724,Pathclear Weedkiller 18 x 18ml sachets,,19.30000,EX WEED KILLERS,,,,,,n,12.55000,,,,,
6042831,10028,WRHS Trading Post Main Store,Vitax Lawn Clear RTU 750ml,5012042125059,Vitax Lawn Clear RTU 750ml,,3.75000,WEED KILLERS,18.00000,0.00000,0.00000,0,0,n,2.43000,,,,,
6042831,17288,Markham House,Vitax Lawn Clear RTU 750ml,5012042125059,Vitax Lawn Clear RTU 750ml,,3.75000,WEED KILLERS,,,,,,n,2.43000,,,,,
5869679,10028,WRHS Trading Post Main Store,Sharp Sand 1000kg Dumpy,,Sharp Sand 1000kg Dumpy Bag,,64.60000,EX PHILLIPS BULK,0.00000,0.00000,0.00000,0,0,n,42.00000,,,,,
5869679,17288,Markham House,Sharp Sand 1000kg Dumpy,,Sharp Sand 1000kg Dumpy Bag,,64.60000,EX PHILLIPS BULK,,,,,,n,42.00000,,,,,
6531458,10028,WRHS Trading Post Main Store,Stubbing Wire 23cm 9 inch,5024242900237,Stubbing Wire bundle 23cm 9 inch,,8.70000,LBS BULK,0.00000,0.00000,0.00000,0,0,n,5.65000,,,,,
6531458,17288,Markham House,Stubbing Wire 23cm 9 inch,5024242900237,Stubbing Wire bundle 23cm 9 inch,,8.70000,LBS BULK,,,,,,n,5.65000,,,,,
6572895,10028,WRHS Trading Post Main Store,Fungus Fighter Conc 125ml,5000371055055,Bio Fungus Fighter Concentrate 125ml,601351,8.00000,FUNGICIDES,11.00000,0.00000,0.00000,0,0,n,5.20400,,,,,
6572895,17288,Markham House,Fungus Fighter Conc 125ml,5000371055055,Bio Fungus Fighter Concentrate 125ml,601351,8.00000,FUNGICIDES,,,,,,n,5.20400,,,,,
6572936,10028,WRHS Trading Post Main Store,Bio Fungus Fighter RTU 800ml,5000371055048,Bio Fungus Fighter Plus RTU 800ml,601344,6.55000,FUNGICIDES,9.00000,0.00000,0.00000,0,0,n,4.25800,,,,,
6572936,17288,Markham House,Bio Fungus Fighter RTU 800ml,5000371055048,Bio Fungus Fighter Plus RTU 800ml,601344,6.55000,FUNGICIDES,,,,,,n,4.25800,,,,,
6818750,10028,WRHS Trading Post Main Store,Master Gardener Gloves S,5020358002001,Master Gardener Gloves S,TGL200S,4.85000,GLOVES,9.00000,0.00000,0.00000,0,0,n,3.15500,,,,,
6818750,17288,Markham House,Master Gardener Gloves S,5020358002001,Master Gardener Gloves S,TGL200S,4.85000,GLOVES,,,,,,n,3.15500,,,,,
6854560,10028,WRHS Trading Post Main Store,Sprayer Wand,5012095609179,Spear & Jackson Extendible Sprayer Wand,636977,3.00000,SPRAYERS,5.00000,0.00000,0.00000,0,0,n,1.50000,,,,,
6854560,17288,Markham House,Sprayer Wand,5012095609179,Spear & Jackson Extendible Sprayer Wand,636977,3.00000,SPRAYERS,,,,,,n,1.50000,,,,,
6854597,10028,WRHS Trading Post Main Store,5Ltr Pump Action Sprayer,5012095607076,5Ltr Pump Action Sprayer,624957,7.50000,SPRAYERS,0.00000,0.00000,0.00000,0,0,n,4.87000,,,,,
6854597,17288,Markham House,5Ltr Pump Action Sprayer,5012095607076,5Ltr Pump Action Sprayer,624957,7.50000,SPRAYERS,,,,,,n,4.87000,,,,,
6854614,10028,WRHS Trading Post Main Store,2 Ltr Pump Action Sprayer,5012095608608,2 Ltr Pump Action Sprayer,624940,4.05000,SPRAYERS,0.00000,0.00000,0.00000,0,0,n,2.62000,,,,,
6854614,17288,Markham House,2 Ltr Pump Action Sprayer,5012095608608,2 Ltr Pump Action Sprayer,624940,4.05000,SPRAYERS,,,,,,n,2.62000,,,,,
7539419,10028,WRHS Trading Post Main Store,Oasis 1/3 brick round bowl,FA011#F011#80000000041,Oasis 1/3 Brick Bowl 15cm diam,SESU735,0.25000,FLOWER ARRANGING,581.00000,0.00000,0.00000,0,0,n,0.15000,,,,,
7539419,17288,Markham House,Oasis 1/3 brick round bowl,FA011#F011#80000000041,Oasis 1/3 Brick Bowl 15cm diam,SESU735,0.25000,FLOWER ARRANGING,,,,,,n,0.15000,,,,,
7539439,10028,WRHS Trading Post Main Store,Oasis Pot Tape,5024242661206,Oasis Pot Tape,SESU961,1.00000,FLOWER ARRANGING,2.00000,0.00000,0.00000,0,0,n,0.65000,,,,,
7539439,17288,Markham House,Oasis Pot Tape,5024242661206,Oasis Pot Tape,SESU961,1.00000,FLOWER ARRANGING,,,,,,n,0.65000,,,,,
7539445,10028,WRHS Trading Post Main Store,Floral Foam Brick,FA012#F012#80000000040,Floral Foam Brick 23x11x8cm,SESU119,0.90000,FLOWER ARRANGING,18.00000,0.00000,0.00000,0,0,n,0.52000,,,,,
7539445,17288,Markham House,Floral Foam Brick,FA012#F012#80000000040,Floral Foam Brick 23x11x8cm,SESU119,0.90000,FLOWER ARRANGING,,,,,,n,0.52000,,,,,
7015757,10028,WRHS Trading Post Main Store,Sack Polythene 25kg load,7722220055,Sack Polythene 25kg load,,0.25000,LBS BULK,0.00000,0.00000,0.00000,0,0,n,0.13000,,,,,
7015757,17288,Markham House,Sack Polythene 25kg load,7722220055,Sack Polythene 25kg load,,0.25000,LBS BULK,,,,,,n,0.13000,,,,,
7682648,10028,WRHS Trading Post Main Store,Black bucket,,Black bucket,,1.30000,EX BAGS & TUBTRUGS,0.00000,0.00000,0.00000,0,0,n,0.83000,,,,,
7682648,17288,Markham House,Black bucket,,Black bucket,,1.30000,EX BAGS & TUBTRUGS,,,,,,n,0.83000,,,,,
7689647,10028,WRHS Trading Post Main Store,John Innes Base 25kg sack,,John Innes Base 25kg sack,,20.00000,EX SHED PRODUCTS,0.00000,0.00000,0.00000,0,0,n,0.00000,,,,,
7689647,17288,Markham House,John Innes Base 25kg sack,,John Innes Base 25kg sack,,20.00000,EX SHED PRODUCTS,,,,,,n,0.00000,,,,,
