productid,category,page,image,show,info
6820484,SWEET PEAS,"Seed, sweet pea",pics/seedsp/WhiteEnsign.png,1,Sweet Pea White Ensign
6820481,SWEET PEAS,"Seed, sweet pea",pics/seedsp/WiltshireRipple.png,1,Sweet Pea Wiltshire Ripple
6820485,SWEET PEAS,"Seed, sweet pea",pics/seedsp/WinstonChurchill.png,1,Sweet Pea Winston Churchill
3586265,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/ArtichokeGreenGlobe.png,1,Artichoke Green Globe
3586266,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/AsparagusPea.png,1,Asparagus Pea
3586267,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/AubergineLongPurple.png,1,Aubergine Long Purple
3585896,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BeanBarlottaDiFuoco.png,1,Bean Barlotta Di Fuoco
7038967,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BeetrootBarbabietolaDiChioggia.png,1,Beetroot Barbabietola Di Chioggia
3586270,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BeetrootBoldorF1.png,1,Beetroot Boldor F1
3586269,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BeetrootBoltardy.png,1,Beetroot Boltardy Rhs Agm
3586271,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BeetrootCylindra.png,1,Beet Cylindra
7039123,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BeetrootDetroit.png,1,Beetroot Detroit
9033445,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BeetrootMixed.png,1,Beetroot Mixed
3586273,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BeetrootPabloF1.png,1,Beetroot Pablo F1 Rhs Agm
7042739,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BorecoleScarlet.png,1,Borecole Scarlet
3586280,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BroccoliPurpleSprouting.png,1,Broccoli Purple Sprouting
9033447,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BroccoliRudolph.png,1,Broccoli Rudolph
3586282,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BroccoliSummerPurple.png,1,Broccoli Summer Purple
5855083,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BroccoliWhiteSprouting.png,1,Broccoli White Sprouting
7042593,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BroccoliWhiteSproutingWhiteEye.png,1,Broccoli White Eye (White Sprouting)
9033446,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BrokaliAtlantisF1.png,1,Broccoli Kale cross
7085508,SEEDS VEGETABLE,"Seed, vegetable",pics/seedv/BrusselsSproutBrodieF1.png,1,Brussels Sprout Brodie F1
